state,city,zip,area_codes,latitude,longitude
CA,Reseda,91335,818,34.2,-118.54
TN,Nashville,37211,615,36.17,-86.78
NY,Jackson Heights,11372,"718,347,917",40.75,-73.88
IL,Chicago,60628,"773,312,847",41.83,-87.68
TX,Pflugerville,78660,512,30.44,-97.62
CA,Temecula,92592,"909,760,951",33.53,-117.04
CA,Folsom,95630,"916,408",38.67,-121.14
OH,Medina,44256,330,41.13,-81.86
OH,Hamilton,45011,513,39.39,-84.56
CA,Laguna Niguel,92677,"949,714,310",33.53,-117.7
GA,Marietta,30062,"678,770,404",33.95,-84.54
CA,South San Francisco,94080,"650,415,925",37.65,-122.42
MD,Silver Spring,20906,"240,301,410",39.01,-77.02
CA,San Francisco,94110,"415,562",37.74,-122.41
GA,Atlanta,30349,"404,770,678",33.61,-84.49
CA,Riverside,92509,909,33.99,-117.44
MD,Gaithersburg,20878,"301,240,202",39.14,-77.21
CO,Aurora,80015,"303,720",39.69,-104.81
NJ,Lakewood,8701,"732,609,848,908",40.09,-74.21
FL,Hollywood,33024,"305,954,786",26.02,-80.16
CA,Hesperia,92345,"760,714",34.36,-117.32
IL,Waukegan,60085,"847,224",42.37,-87.86
TX,Cedar Park,78613,"254,512",30.51,-97.83
TX,Allen,75002,"972,469,214",33.1,-96.66
CA,La Habra,90631,"562,626,310,714,909",33.94,-117.95
FL,West Palm Beach,33411,"561,954",26.74,-80.12
IL,Des Plaines,60016,"630,847,773,224",42.03,-87.9
AZ,Yuma,85364,928,32.68,-114.66
IN,Crown Point,46307,219,41.42,-87.35
NY,Brooklyn,11223,"718,917,212",40.64,-73.94
TX,Dallas,75211,"214,972",32.79,-96.76
MD,Pasadena,21122,"410,443,202",39.11,-76.55
NY,Brooklyn,11218,"917,718,212",40.64,-73.94
AZ,Glendale,85308,"602,623",33.66,-112.18
SC,Summerville,29483,843,33,-80.17
FL,Hollywood,33023,"954,305",26.02,-80.16
NY,Brooklyn,11209,"917,718,646",40.64,-73.94
GA,Alpharetta,30022,"678,770,404",34.06,-84.27
NM,Albuquerque,87121,505,35.11,-106.62
NC,Charlotte,28277,704,35.19,-80.83
CA,Cupertino,95014,"408,650",37.3,-122.09
GA,Stockbridge,30281,"678,770,404",33.54,-84.24
NV,Las Vegas,89108,702,36.21,-115.21
NJ,Passaic,7055,"201,973,862",40.85,-74.12
VA,Chesapeake,23322,757,36.67,-76.3
IL,Chicago,60657,"312,773",41.83,-87.68
CA,Fairfield,94533,"510,707",38.28,-122
NY,Brooklyn,11215,"646,718,917",40.64,-73.94
FL,Fort Lauderdale,33311,"954,305,407",26.14,-80.13
TN,Clarksville,37042,931,36.56,-87.34
VA,Virginia Beach,23454,757,36.73,-76.04
GA,Lawrenceville,30045,"404,678,770",33.94,-83.99
NY,Staten Island,10312,"917,718,347",40.58,-74.14
AZ,Chandler,85225,"480,602",33.32,-111.82
CA,Corona,92882,"714,909,951",33.83,-117.6
CA,Anaheim,92805,"714,310,562,626,949",33.82,-117.91
MI,Taylor,48180,"313,734",42.22,-83.26
CA,San Jose,95123,408,37.23,-121.82
OH,Elyria,44035,"216,440",41.37,-82.1
MO,Ballwin,63021,"636,314",38.59,-90.55
CT,Bristol,6010,"860,203",41.68,-72.94
NY,Bay Shore,11706,"516,631",40.72,-73.25
NY,Bronx,10463,"914,718",40.84,-73.87
OR,Beaverton,97006,"503,971",45.52,-122.85
CA,San Diego,92114,"619,858",32.71,-117.05
NY,Brooklyn,11206,"917,718,347",40.64,-73.94
CA,Lake Forest,92630,"949,714",33.64,-117.67
TX,Mansfield,76063,"817,682,512,972",32.56,-97.11
CA,Sacramento,95823,"916,510",38.47,-121.44
NY,Bronx,10458,"347,718,646",40.84,-73.87
NY,Brooklyn,11221,"718,917,347",40.64,-73.94
FL,Miami,33157,"305,786",25.77,-80.2
VA,Virginia Beach,23452,757,36.73,-76.04
NJ,Bayonne,7002,"201,551",40.66,-74.11
CA,Salinas,93905,"831,408",36.67,-121.61
CA,Pomona,91766,"909,626",34.03,-117.75
OH,Grove City,43123,614,39.87,-83.07
TN,Hendersonville,37075,615,36.29,-86.6
CA,Daly City,94015,"650,415",37.67,-122.47
GA,Duluth,30096,"678,770,404",34,-84.15
IL,Mount Prospect,60056,"847,773,224,630,708",42.06,-87.93
AZ,Phoenix,85032,"602,480",33.62,-112
TX,Missouri City,77459,"832,281,713",29.57,-95.53
VA,Virginia Beach,23462,757,36.73,-76.04
WA,Redmond,98052,"425,206",47.68,-122.12
PA,Greensburg,15601,"412,724",40.31,-79.54
IL,Berwyn,60402,"708,773,630",41.84,-87.79
CA,Rosemead,91770,"626,213,323",34.06,-118.08
CA,Bakersfield,93307,"661,805",35.2,-118.86
CA,Fremont,94538,"510,707,408,925",37.5,-121.96
PA,Lancaster,17603,717,40.04,-76.3
NY,Massapequa,11758,"516,631",40.66,-73.47
WA,Pasco,99301,509,46.41,-118.9
NV,North Las Vegas,89031,702,36.27,-115.13
CO,Longmont,80501,"720,970,303",40.17,-105.11
TX,Katy,77494,"281,832",29.79,-95.82
TX,North Richland Hills,76180,"817,682",32.86,-97.21
NY,Bronx,10457,"718,917,347,646",40.84,-73.87
IL,Round Lake,60073,"847,773,224",42.34,-88.11
CA,Santa Ana,92703,714,33.74,-117.89
FL,Hialeah,33015,"305,786,954",25.86,-80.29
CA,Pico Rivera,90660,"562,323,626",33.98,-118.08
GA,Loganville,30052,"678,770",33.83,-83.89
CA,Santa Ana,92707,"714,310,949",33.71,-117.87
IL,Chicago,60619,"773,312",41.83,-87.68
NY,New York,10029,"212,917,646",40.71,-73.99
CA,Alameda,94501,"510,415",37.77,-122.27
GA,Lilburn,30047,"404,770,678",33.88,-84.13
MD,Germantown,20874,"240,301",39.17,-77.26
GA,Powder Springs,30127,"404,678,770",33.86,-84.68
TX,Burleson,76028,"817,713",32.53,-97.32
TX,Mission,78572,956,26.21,-98.31
IL,Chicago,60608,"312,773,630",41.83,-87.68
HI,Ewa Beach,96706,808,21.31,-158.01
CA,Elk Grove,95758,916,38.34,-121.42
CA,Lancaster,93536,661,34.72,-118.48
GA,Douglasville,30135,"678,770,404",33.74,-84.74
CA,Moreno Valley,92553,951,33.92,-117.24
IL,Oak Lawn,60453,"708,312",41.71,-87.75
CA,Rancho Cucamonga,91730,"714,909,760",34.09,-117.58
CA,Palmdale,93550,"661,562,310",34.52,-118.08
NY,Brentwood,11717,"631,212,516",40.78,-73.24
CA,Elk Grove,95624,916,38.44,-121.3
NY,New York,10023,"646,917,212,718",40.71,-73.99
MO,Saint Louis,63129,314,38.63,-90.24
CA,Fresno,93727,559,36.75,-119.67
CA,El Cajon,92021,"619,858",32.84,-116.88
CA,Lynwood,90262,"323,310,562,818",33.92,-118.2
NJ,Union City,7087,"201,551",40.76,-74.03
IL,Chicago,60651,"773,312,847",41.83,-87.68
FL,Jacksonville,32210,904,30.33,-81.65
PA,Lansdale,19446,"215,267,610",40.24,-75.28
OH,Westerville,43081,614,40.12,-82.91
NY,Bronx,10466,"914,718,845,347",40.84,-73.87
OH,Hilliard,43026,614,40.03,-83.14
NY,New York,10128,"212,917,646,203",40.71,-73.99
NY,Bronx,10469,"917,718,347",40.84,-73.87
OR,Portland,97229,"503,971",45.55,-122.81
PA,Philadelphia,19120,"215,267,610",39.95,-75.16
NV,Las Vegas,89121,702,36.12,-115.08
TX,Garland,75040,"469,972,214",32.91,-96.62
NJ,Jackson,8527,732,40.1,-74.35
TX,New Braunfels,78130,"210,512,830",29.7,-98.11
CA,Huntington Beach,92646,"714,562,949",33.66,-117.97
CO,Parker,80134,"303,720",39.5,-104.76
DE,New Castle,19720,302,39.66,-75.57
OH,Newark,43055,"614,740",40.06,-82.42
